Time,Temp_F,DewTemp_F,RH_percent,WindSpeed_mph,SLP_mb
12:05a,68.6,68.5,36,5,838.5
12:10a,68.5,68.1,36,6,838.6
12:15a,68.1,67.8,36,7,838.6
12:20a,67.9,67.9,37,4,838.7
12:25a,68,67.9,36,4,838.6
12:30a,67.9,67.8,37,6,838.6
12:35a,67.9,67.8,38,6,838.6
12:40a,67.8,67.5,36,6,838.6
12:45a,67.5,67,39,6,838.5
12:50a,67,67,38,6,838.4
12:55a,67,66.8,38,7,838.5
1:00a,66.8,66.6,39,6,838.5
1:05a,66.6,66.5,41,6,838.4
1:10a,66.5,66.4,39,7,838.2
1:15a,66.4,66.3,38,7,838.1
1:20a,66.3,66.2,39,7,838.1
1:25a,66.2,66.1,41,7,838
1:30a,66.1,65.9,40,7,837.8
1:35a,65.9,65.8,39,7,837.9
1:40a,66,65.9,39,6,837.9
1:45a,66,66,41,6,837.9
1:50a,66,65.9,38,7,837.7
1:55a,65.9,65.8,41,7,837.6
2:00a,65.8,65.8,38,7,837.7
2:05a,65.8,65.7,39,7,837.7
2:10a,65.9,65.8,38,6,837.5
2:15a,66,65.9,36,6,837.6
2:20a,66.1,66,37,5,837.7
2:25a,66.2,66.1,35,6,837.6
2:30a,66.2,65.8,36,8,837.5
2:35a,65.8,65.6,36,6,837.5
2:40a,65.6,65.5,36,6,837.6
2:45a,65.5,65.3,36,6,837.5
2:50a,65.3,65,40,5,837.3
2:55a,64.9,64.7,37,6,837.2
3:00a,64.8,64.7,37,6,837.2
3:05a,64.9,64.8,37,6,837.2
3:10a,64.8,64.6,39,4,837.1
3:15a,64.6,64.5,41,4,837
3:20a,64.5,64.3,42,3,837.1
3:25a,64.3,63.9,44,1,837.1
3:30a,63.9,63.6,45,0,837
3:35a,63.6,63.4,45,2,836.9
3:40a,63.4,63.3,45,3,836.9
3:45a,63.4,63.3,44,2,836.7
3:50a,63.6,63.4,43,3,836.7
3:55a,64,63.6,39,4,836.7
4:00a,64,64,38,5,836.6
4:05a,64,63.6,41,7,836.5
4:10a,63.8,63.5,39,5,836.5
4:15a,64,63.8,39,5,836.7
4:20a,63.9,63.6,41,5,836.5
4:25a,63.6,63.4,40,3,836.4
4:30a,64,63.5,37,5,836.4
4:35a,64.5,64,36,5,836.5
4:40a,64.6,64.5,37,6,836.4
4:45a,64.6,64.5,38,6,836.3
4:50a,64.5,64.1,38,4,836.2
4:55a,64.1,63.8,41,2,836.2
5:00a,63.8,63.5,40,2,836.2
5:05a,63.6,63.4,39,4,836.3
5:10a,64.1,63.6,38,4,836.4
5:15a,64.2,64.1,39,2,836.7
5:20a,64.1,63.6,41,1,836.8
5:25a,63.6,63.2,44,1,836.8
5:30a,63.2,62.7,46,1,837
5:35a,62.7,62.1,47,2,837.3
5:40a,62.1,61.6,48,1,837.3
5:45a,61.6,61.2,52,1,837.6
5:50a,61.2,60.9,53,1,837.7
5:55a,60.9,60.6,55,1,837.8
6:00a,60.6,60.4,56,1,837.9
6:05a,60.4,60.3,56,1,837.8
6:10a,60.3,60.2,56,0,837.8
6:15a,60.2,59.9,56,0,837.8
6:20a,59.9,59.6,55,1,837.8
6:25a,59.8,59.6,53,2,837.9
6:30a,60,59.8,52,3,837.9
6:35a,60.3,60,54,6,837.9
6:40a,60.5,60.3,50,4,837.8
6:45a,60.7,60.5,50,5,837.7
6:50a,60.9,60.7,50,7,837.6
6:55a,61,60.8,50,4,837.6
7:00a,61.1,61,50,1,837.8
7:05a,61.1,60.9,55,1,837.7
7:10a,60.9,60.6,54,1,837.7
7:15a,60.9,60.6,50,5,837.9
7:20a,61.5,61,50,4,837.8
7:25a,62,61.6,54,3,837.9
7:30a,62.3,62.1,54,1,837.9
7:35a,62.6,62.3,53,0,837.9
7:40a,62.9,62.6,49,4,838
7:45a,63.3,62.9,45,5,838.1
7:50a,63.5,63.3,47,5,837.9
7:55a,63.5,63.4,46,5,837.9
8:00a,63.6,63.5,49,3,837.8
8:05a,63.6,63.5,51,1,837.8
8:10a,63.5,63.4,53,0,837.7
8:15a,64,63.5,55,1,837.8
8:20a,64.6,64,53,1,837.6
8:25a,65.1,64.6,51,1,837.7
8:30a,65.7,65.1,48,1,837.7
8:35a,66.8,65.8,45,2,837.8
8:40a,67.6,66.8,44,2,837.8
8:45a,68.7,67.7,44,2,837.8
8:50a,70.1,68.7,45,1,837.8
8:55a,71.2,70.1,40,1,837.8
9:00a,71.9,71.3,41,1,837.8
9:05a,72.4,72,44,1,837.8
9:10a,72.4,71.2,47,2,837.8
9:15a,71.2,70.4,49,2,837.8
9:20a,70.4,69.8,51,2,837.9
9:25a,69.7,69,53,2,837.9
9:30a,69,68.5,52,2,837.8
9:35a,68.4,68.1,52,2,837.7
9:40a,68.2,68.1,49,1,837.4
9:45a,68.7,68.2,48,0,837.4
9:50a,69.2,68.6,48,1,837.6
9:55a,70.1,69.3,45,1,837.6
10:00a,70.8,70.2,44,1,837.6
10:05a,71.1,70.9,46,1,837.5
10:10a,71.9,71.2,46,1,837.8
10:15a,72.4,71.9,45,1,837.7
10:20a,73.1,72.5,43,1,837.7
10:25a,73.7,73.1,42,2,837.6
10:30a,74.2,73.7,40,2,837.7
10:35a,74.8,74.3,40,1,837.8
10:40a,75.2,74.8,38,1,837.8
10:45a,75.4,75.2,36,3,837.9
10:50a,75.4,75.3,38,3,837.9
10:55a,76,75.3,38,1,837.8
11:00a,76.3,76.1,37,3,837.8
11:05a,76.9,76.3,35,1,837.8
11:10a,77.5,76.9,35,1,837.9
11:15a,77.6,77.5,36,2,837.9
11:20a,78.2,77.6,36,1,837.8
11:25a,78.3,78.2,36,3,837.9
11:30a,78.4,78.2,36,2,837.8
11:35a,78.5,78.2,36,2,837.7
11:40a,79,78.5,36,2,837.6
11:45a,79.2,78.9,36,2,837.4
11:50a,79.4,79.2,35,2,837.3
11:55a,79.6,79.3,34,2,837.5
12:00p,79.4,79.1,34,2,837.2
12:05p,80.1,79.3,33,1,837.2
12:10p,81.2,80.1,34,2,837.1
12:15p,81.9,81.2,32,2,837.2
12:20p,82,81.9,31,2,836.9
12:25p,81.9,81.7,32,2,837
12:30p,82.3,81.8,31,2,837
12:35p,82.1,81.5,32,3,837.1
12:40p,81.7,81.3,32,2,836.9
12:45p,82.1,81.7,32,2,836.8
12:50p,82.2,82.1,32,3,836.9
12:55p,82.1,82,32,3,836.8
1:00p,82.3,82.1,32,3,836.7
1:05p,82.3,81.8,32,4,836.7
1:10p,81.8,81.7,31,3,836.7
1:15p,82.2,81.7,31,3,836.6
1:20p,83.1,82.2,32,1,836.5
